,driver,midrace_pos,high_pos,low_pos,avg_pos,pass_dif,GF_Passes,GF_Passed,quality_passes,quality_pass_pct,fast_lap,top15_laps,top15_lap_pct,laps_led,LL_pct,total_laps,driver_rating,race_num,year,start,finish,laps,pos_dif,finishpoints,DFS,DfsRank
1503,Chris Buescher,17,4,31,17,12,139,127,42,30.2,0,64,24.0,0,0.0,267,64.8,3,2019,27,18,267,9,25,34.0,14
1504,Austin Dillon,20,1,34,18,-21,98,119,19,19.4,9,59,22.1,2,0.8,266,70.1,3,2019,4,20,266,-16,23,11.55,28
1505,Ryan Blaney,28,3,34,23,-11,78,89,31,39.7,10,54,20.2,0,0.0,266,65.8,3,2019,13,22,266,-9,20,15.5,24
1506,Ryan Newman,22,14,35,23,7,112,105,8,7.1,2,3,1.1,0,0.0,265,50.1,3,2019,29,24,265,5,18,23.9,20
1507,Bubba Wallace,23,1,35,23,2,82,80,0,0.0,2,1,0.4,0,0.0,265,53.3,3,2019,21,26,265,-5,16,11.9,27
1508,David Ragan,26,4,29,23,-27,84,111,16,19.1,1,26,9.7,0,0.0,264,46.4,3,2019,6,28,264,-22,14,-7.55,37
1509,Michael McDowell,31,2,32,27,-18,77,95,7,9.1,0,18,6.7,0,0.0,263,48.5,3,2019,16,30,263,-14,12,-2.0,36
1510,Landon Cassill,33,18,34,33,4,48,44,0,0.0,3,0,0.0,0,0.0,260,33.5,3,2019,31,32,260,-1,9,9.35,29
1511,Matt Tifft,34,13,35,32,-2,45,47,1,2.2,0,1,0.4,0,0.0,259,34.5,3,2019,35,34,259,1,7,8.0,30
1512,Reed Sorenson,36,35,38,36,2,4,2,0,0.0,0,0,0.0,0,0.0,252,27.3,3,2019,37,36,252,1,5,6.0,31
1513,Joey Gase,38,32,38,38,-6,2,8,0,0.0,0,0,0.0,0,0.0,10,23.2,3,2019,36,38,10,-2,3,1.0,34
1514,Kyle Busch,1,1,14,2,21,29,8,26,89.7,103,312,100.0,177,56.7,312,149.7,4,2019,4,1,312,3,45,138.6,1
1515,Ryan Blaney,11,1,20,6,21,44,23,36,81.8,27,304,97.4,94,30.1,312,124.1,4,2019,1,3,312,-2,41,74.65,2
1516,Denny Hamlin,7,1,13,7,1,33,32,31,93.9,9,312,100.0,7,2.2,312,108.4,4,2019,3,5,312,-2,39,42.8,9
1517,Kurt Busch,12,3,22,10,9,49,40,32,65.3,1,273,87.5,0,0.0,312,90.7,4,2019,16,7,312,9,37,46.45,7
1518,Kevin Harvick,5,2,22,8,16,45,29,29,64.4,11,290,93.0,0,0.0,312,105.1,4,2019,8,9,312,-1,35,38.95,10
1519,Clint Bowyer,2,2,27,9,20,47,27,25,53.2,16,239,76.6,0,0.0,312,94.6,4,2019,26,11,312,15,32,54.2,6
1520,"Ricky Stenhouse, Jr.",16,9,22,15,-8,56,64,33,58.9,0,175,56.1,0,0.0,312,73.7,4,2019,19,13,312,6,30,36.0,13
1521,Ty Dillon,18,12,25,19,-18,65,83,16,24.6,0,64,20.5,0,0.0,312,64.2,4,2019,20,15,312,5,28,33.0,14
1522,Paul Menard,15,8,22,16,-4,56,60,22,39.3,0,132,42.3,0,0.0,311,67.3,4,2019,17,17,311,0,26,26.0,16
1523,Brad Keselowski,31,3,32,23,-14,28,42,4,14.3,6,56,18.0,0,0.0,311,66.6,4,2019,5,19,311,-14,24,12.7,25
1524,Austin Dillon,19,2,24,12,-21,33,54,9,27.3,2,165,52.9,0,0.0,311,71.8,4,2019,13,21,311,-8,21,13.9,24
1525,Daniel Suarez,28,15,32,26,11,40,29,2,5.0,7,0,0.0,0,0.0,311,56.7,4,2019,28,23,311,5,19,27.15,15
1526,David Ragan,22,19,31,25,-1,51,52,0,0.0,0,0,0.0,0,0.0,310,44.2,4,2019,29,25,310,4,17,21.0,19
1527,Ross Chastain,30,12,33,30,5,9,4,0,0.0,2,1,0.3,0,0.0,308,33.6,4,2019,33,27,308,6,15,21.9,18
1528,Erik Jones,36,7,36,31,0,4,4,2,50.0,0,37,11.9,0,0.0,304,45.8,4,2019,10,29,304,-19,13,-6.0,31
1529,Bayley Currey,34,30,36,33,-2,3,5,0,0.0,0,0,0.0,0,0.0,301,27.0,4,2019,36,31,301,5,10,15.0,22
1530,Landon Cassill,32,11,34,31,-6,5,11,0,0.0,1,3,1.0,0,0.0,267,32.4,4,2019,32,33,267,-1,8,7.45,28
1531,Alex Bowman,27,2,27,22,3,27,24,13,48.2,2,90,28.9,0,0.0,191,63.9,4,2019,6,35,191,-29,6,-22.1,32
1532,"Martin Truex, Jr.",3,2,25,7,23,45,22,29,64.4,33,285,91.4,0,0.0,312,118.1,4,2019,9,2,312,7,42,63.85,3
1533,Aric Almirola,10,1,22,8,14,46,32,29,63.0,7,287,92.0,26,8.3,312,100.7,4,2019,14,4,312,10,40,59.65,5
1534,Kyle Larson,13,4,31,12,25,76,51,37,48.7,0,210,67.3,0,0.0,312,86.0,4,2019,31,6,312,25,38,63.0,4
1535,Jimmie Johnson,6,1,18,8,-8,24,32,18,75.0,0,272,87.2,4,1.3,312,97.7,4,2019,15,8,312,7,36,44.0,8
1536,Joey Logano,8,2,20,9,21,52,31,40,76.9,1,297,95.2,0,0.0,312,96.4,4,2019,12,10,312,2,34,36.45,12
1537,Ryan Newman,4,3,25,11,2,40,38,19,47.5,2,253,81.1,0,0.0,312,83.6,4,2019,18,12,312,6,31,37.9,11
1538,Chase Elliott,9,1,36,16,-13,66,79,29,43.9,12,172,55.1,0,0.0,312,76.8,4,2019,2,14,312,-12,29,22.4,17
1539,Chris Buescher,21,8,31,20,-12,53,65,8,15.1,0,28,9.0,0,0.0,312,58.5,4,2019,22,16,312,6,27,33.0,14
1540,Daniel Hemric,17,1,26,18,-7,65,72,14,21.5,1,98,31.4,4,1.3,311,59.6,4,2019,11,18,311,-7,25,19.45,20
1541,Matt Tifft,26,12,31,25,-10,43,53,2,4.7,0,4,1.3,0,0.0,311,47.2,4,2019,30,20,311,10,23,33.0,14
1542,Bubba Wallace,24,9,26,22,-14,52,66,8,15.4,0,19,6.1,0,0.0,311,51.0,4,2019,23,22,311,1,20,21.0,19
1543,William Byron,20,4,24,16,-15,38,53,14,36.8,7,127,40.7,0,0.0,310,68.8,4,2019,7,24,310,-17,18,4.15,29
1544,Corey LaJoie,29,22,31,28,-9,17,26,0,0.0,1,0,0.0,0,0.0,310,37.9,4,2019,24,26,310,-2,16,14.45,23
1545,Matt DiBenedetto,14,8,28,18,-21,47,68,18,38.3,3,175,56.1,0,0.0,308,57.2,4,2019,25,28,308,-3,14,12.35,26
1546,Quin Houff,33,30,36,33,3,6,3,0,0.0,0,0,0.0,0,0.0,302,28.0,4,2019,35,30,302,5,12,17.0,21
1547,Cody Ware,35,32,35,34,-1,2,3,0,0.0,0,0,0.0,0,0.0,300,28.5,4,2019,34,32,300,2,9,11.0,27
1548,Ryan Preece,23,17,30,28,-12,34,46,0,0.0,0,0,0.0,0,0.0,229,38.0,4,2019,21,34,229,-13,7,-6.0,31
1549,Michael McDowell,25,20,32,31,3,19,16,0,0.0,0,0,0.0,0,0.0,157,34.2,4,2019,27,36,157,-9,5,-4.0,30
1550,Kyle Busch,1,1,20,3,20,56,36,42,75.0,66,197,98.5,134,67.0,200,148.5,5,2019,4,1,200,3,45,111.2,1
1551,Brad Keselowski,2,1,33,8,10,88,78,32,36.4,28,160,80.0,42,21.0,200,115.7,5,2019,13,3,200,10,41,74.1,2
1552,Ryan Blaney,4,1,34,7,5,96,91,56,58.3,13,193,96.5,2,1.0,200,111.6,5,2019,10,5,200,5,39,50.35,6
1553,Denny Hamlin,9,1,20,8,19,89,70,50,56.2,18,186,93.0,8,4.0,200,104.3,5,2019,6,7,200,-1,37,46.1,7
1554,Aric Almirola,6,1,12,6,-3,58,61,50,86.2,6,200,100.0,7,3.5,200,108.6,5,2019,3,9,200,-6,35,33.45,12
1555,Chase Elliott,14,2,28,13,-12,139,151,71,51.1,0,147,73.5,0,0.0,200,84.0,5,2019,8,11,200,-3,32,29.0,14
1556,Daniel Suarez,11,5,29,12,3,128,125,62,48.4,2,184,92.0,0,0.0,200,86.4,5,2019,20,13,200,7,30,37.9,10
1557,William Byron,18,1,31,18,0,125,125,35,28.0,5,36,18.0,3,1.5,200,71.5,5,2019,22,15,200,7,28,38.0,9
1558,Jimmie Johnson,10,5,19,11,-7,82,89,60,73.2,0,168,84.0,0,0.0,200,82.2,5,2019,11,17,200,-6,26,20.0,24
1559,Erik Jones,3,3,23,12,0,111,111,53,47.8,5,155,77.5,0,0.0,200,79.0,5,2019,18,19,200,-1,24,25.25,18
1560,Alex Bowman,13,7,31,18,-7,96,103,28,29.2,0,59,29.5,0,0.0,200,63.3,5,2019,23,21,200,2,21,23.0,21
1561,Ryan Preece,22,8,34,24,-1,75,76,5,6.7,0,2,1.0,0,0.0,199,50.8,5,2019,26,23,199,3,19,22.0,23
1562,David Ragan,26,6,33,26,-5,65,70,3,4.6,1,5,2.5,0,0.0,198,45.8,5,2019,19,25,198,-6,17,11.45,27
1563,Ty Dillon,31,7,32,27,-15,65,80,6,9.2,0,2,1.0,0,0.0,197,50.5,5,2019,16,27,197,-11,15,4.0,34
1564,Landon Cassill,32,7,34,30,4,51,47,4,7.8,0,2,1.0,0,0.0,195,38.7,5,2019,33,29,195,4,13,17.0,26
1565,Corey LaJoie,30,3,34,30,3,59,56,5,8.5,0,6,3.0,0,0.0,193,42.3,5,2019,30,31,193,-1,10,9.0,30
1566,Daniel Hemric,35,7,36,27,-25,87,112,14,16.1,1,28,14.0,0,0.0,192,60.3,5,2019,17,33,192,-16,8,-7.55,36
1567,Joey Gase,36,35,38,36,2,9,7,0,0.0,0,0,0.0,0,0.0,188,25.5,5,2019,38,35,188,3,6,9.0,30
1568,B.J. McLeod,38,35,38,38,-1,7,8,0,0.0,0,0,0.0,0,0.0,172,24.7,5,2019,36,37,172,-1,4,3.0,35
1569,Joey Logano,5,1,16,4,3,59,56,44,74.6,16,200,100.0,3,1.5,200,121.4,5,2019,5,2,200,3,42,52.95,5
1570,Kevin Harvick,7,2,31,7,-12,78,90,39,50.0,3,193,96.5,0,0.0,200,107.6,5,2019,2,4,200,-2,40,39.35,8
1571,Kurt Busch,8,4,27,10,24,137,113,59,43.1,2,183,91.5,0,0.0,200,98.5,5,2019,21,6,200,15,38,53.9,4
1572,"Martin Truex, Jr.",15,4,27,14,39,131,92,58,44.3,4,128,64.0,0,0.0,200,87.9,5,2019,27,8,200,19,36,56.8,3
1573,Austin Dillon,17,1,23,11,1,88,87,50,56.8,2,154,77.0,0,0.0,200,92.2,5,2019,1,10,200,-9,34,25.9,17
1574,Kyle Larson,12,3,33,14,1,132,131,41,31.1,1,132,66.0,0,0.0,200,79.8,5,2019,15,12,200,3,31,34.45,11
1575,"Ricky Stenhouse, Jr.",21,1,27,15,2,103,101,36,35.0,0,94,47.0,1,0.5,200,73.8,5,2019,12,14,200,-2,29,27.25,16
1576,Chris Buescher,19,2,33,19,-9,126,135,27,21.4,0,39,19.5,0,0.0,200,65.3,5,2019,14,16,200,-2,27,25.0,19
1577,Matt DiBenedetto,20,2,29,19,0,136,136,27,19.9,0,22,11.0,0,0.0,200,61.8,5,2019,24,18,200,6,25,31.0,13
1578,Paul Menard,16,8,30,17,-10,103,113,36,35.0,0,67,33.5,0,0.0,200,68.8,5,2019,25,20,200,5,23,28.0,15
1579,Ryan Newman,25,7,34,23,-13,45,58,5,11.1,0,5,2.5,0,0.0,199,56.2,5,2019,7,22,199,-15,20,5.0,33
1580,Michael McDowell,24,2,31,24,6,64,58,6,9.4,3,13,6.5,0,0.0,198,52.3,5,2019,29,24,198,5,18,24.35,20
1581,Matt Tifft,27,4,33,27,2,59,57,6,10.2,1,8,4.0,0,0.0,197,44.9,5,2019,32,26,197,6,16,22.45,22
1582,Ross Chastain,28,11,34,30,-1,47,48,3,6.4,1,0,0.0,0,0.0,195,37.1,5,2019,31,28,195,3,14,17.45,25
1583,Bubba Wallace,29,24,36,29,0,36,36,0,0.0,0,0,0.0,0,0.0,194,41.2,5,2019,28,30,194,-2,12,10.0,29
1584,Cody Ware,34,21,37,33,-1,38,39,0,0.0,0,0,0.0,0,0.0,192,33.3,5,2019,34,32,192,2,9,11.0,28
1585,Reed Sorenson,33,30,35,34,3,27,24,0,0.0,0,0,0.0,0,0.0,192,30.5,5,2019,35,34,192,1,7,8.0,31
1586,Garrett Smithley,37,34,38,36,1,9,8,0,0.0,0,0,0.0,0,0.0,188,27.3,5,2019,37,36,188,1,5,6.0,32
1587,Clint Bowyer,23,3,30,26,-26,52,78,13,25.0,0,32,16.0,0,0.0,130,55.3,5,2019,9,38,130,-29,3,-26.0,37
1588,Brad Keselowski,1,1,15,1,1,2,1,2,100.0,79,500,100.0,446,89.2,500,150.0,6,2019,3,1,500,2,45,194.05,1
1589,Kyle Busch,12,1,18,7,0,24,24,23,95.8,24,500,100.0,0,0.0,500,109.3,6,2019,13,3,500,10,41,61.8,4
1590,Denny Hamlin,4,1,20,7,16,36,20,26,72.2,23,444,88.8,0,0.0,500,103.9,6,2019,5,5,500,0,39,49.35,7
1591,Clint Bowyer,8,1,21,9,21,40,19,28,70.0,28,418,83.6,0,0.0,500,96.4,6,2019,10,7,500,3,37,52.6,6
1592,Aric Almirola,5,1,21,7,1,33,32,33,100.0,26,495,99.0,0,0.0,500,102.5,6,2019,2,9,500,-7,35,39.7,11
1593,Austin Dillon,14,1,31,12,16,52,36,34,65.4,23,427,85.4,0,0.0,500,84.4,6,2019,29,11,500,18,32,60.35,5
1594,Ty Dillon,17,3,30,19,24,58,34,16,27.6,11,109,21.8,0,0.0,500,69.8,6,2019,22,13,500,9,30,43.95,9
1595,Paul Menard,16,5,24,16,-4,32,36,21,65.6,0,251,50.2,0,0.0,500,71.8,6,2019,14,15,500,-1,28,27.0,18
1596,Bubba Wallace,20,1,26,20,2,47,45,9,19.2,0,24,4.8,0,0.0,500,60.7,6,2019,26,17,500,9,26,35.0,14
1597,Joey Logano,9,1,21,11,-14,33,47,20,60.6,2,371,74.2,5,1.0,500,80.2,6,2019,1,19,500,-18,24,8.15,29
1598,Chris Buescher,22,2,27,21,-4,21,25,1,4.8,0,3,0.6,0,0.0,499,54.3,6,2019,12,21,499,-9,21,12.0,27
1599,Ryan Newman,24,17,26,24,-8,34,42,0,0.0,1,0,0.0,0,0.0,499,50.4,6,2019,20,23,499,-3,19,16.45,21
1600,"Ricky Stenhouse, Jr.",26,15,26,24,-7,23,30,0,0.0,0,1,0.2,0,0.0,498,49.8,6,2019,24,25,498,-1,17,16.0,22
1601,Daniel Hemric,27,18,30,27,-3,17,20,0,0.0,36,0,0.0,0,0.0,496,50.4,6,2019,28,27,496,1,15,32.2,15
1602,Matt Tifft,28,26,35,29,-3,7,10,0,0.0,0,0,0.0,0,0.0,494,33.7,6,2019,31,29,494,2,13,15.0,23
1603,Michael McDowell,33,23,35,32,-5,4,9,0,0.0,1,0,0.0,0,0.0,491,36.2,6,2019,23,31,491,-8,10,2.45,32
1604,Corey LaJoie,31,29,33,32,4,15,11,0,0.0,0,0,0.0,0,0.0,489,31.3,6,2019,32,33,489,-1,8,7.0,30
1605,Jeb Burton,35,31,36,34,0,5,5,0,0.0,0,0,0.0,0,0.0,163,25.5,6,2019,36,35,163,1,6,7.0,30
1606,Chase Elliott,3,1,19,2,4,10,6,10,100.0,82,499,99.8,49,9.8,500,124.1,6,2019,7,2,500,5,42,96.15,2
1607,Ryan Blaney,2,1,19,5,16,29,13,23,79.3,32,498,99.6,0,0.0,500,114.4,6,2019,17,4,500,13,40,67.4,3
1608,Kevin Harvick,7,1,20,7,2,21,19,20,95.2,27,500,100.0,0,0.0,500,101.4,6,2019,4,6,500,-2,38,48.15,8
1609,"Martin Truex, Jr.",6,1,21,7,-1,16,17,16,100.0,12,498,99.6,0,0.0,500,99.0,6,2019,8,8,500,0,36,41.4,10
1610,Daniel Suarez,10,1,22,12,-6,48,54,42,87.5,6,466,93.2,0,0.0,500,87.6,6,2019,9,10,500,-1,34,35.7,13
1611,Kurt Busch,18,1,24,15,9,59,50,37,62.7,2,301,60.2,0,0.0,500,78.1,6,2019,19,12,500,7,31,38.9,12
1612,Alex Bowman,19,3,23,15,-10,43,53,27,62.8,0,301,60.2,0,0.0,500,74.3,6,2019,16,14,500,2,29,31.0,17
1613,Ryan Preece,25,1,26,19,-5,43,48,17,39.5,1,169,33.8,0,0.0,500,66.5,6,2019,15,16,500,-1,27,26.45,19
1614,Kyle Larson,15,4,21,13,-24,32,56,26,81.3,2,321,64.2,0,0.0,500,75.9,6,2019,6,18,500,-12,25,13.9,24
1615,Matt DiBenedetto,13,4,25,19,4,45,41,10,22.2,4,98,19.6,0,0.0,500,63.8,6,2019,21,20,500,1,23,25.8,20
1616,William Byron,21,14,34,24,13,37,24,0,0.0,0,0,0.0,0,0.0,499,52.0,6,2019,34,22,499,12,20,32.0,16
1617,Jimmie Johnson,23,8,26,20,-12,26,38,8,30.8,0,116,23.2,0,0.0,498,61.3,6,2019,11,24,498,-13,18,5.0,31
1618,David Ragan,29,25,33,28,6,18,12,0,0.0,0,0,0.0,0,0.0,496,42.2,6,2019,25,26,496,-1,16,15.0,23
1619,Landon Cassill,30,27,33,30,-5,11,16,0,0.0,0,0,0.0,0,0.0,494,37.3,6,2019,27,28,494,-1,14,13.0,25
1620,Erik Jones,11,3,32,19,-14,36,50,19,52.8,0,190,38.0,0,0.0,491,60.7,6,2019,18,30,491,-12,12,0.0,34
1621,D.J. Kennington,32,28,35,32,-6,5,11,0,0.0,2,0,0.0,0,0.0,489,29.2,6,2019,35,32,489,3,9,12.9,26
1622,Ross Chastain,34,26,35,33,-8,15,23,0,0.0,18,0,0.0,0,0.0,365,38.6,6,2019,30,34,365,-4,7,11.1,28
1623,Cody Ware,36,33,36,36,-1,1,2,0,0.0,0,0,0.0,0,0.0,55,23.2,6,2019,33,36,55,-3,5,2.0,33
1624,Denny Hamlin,1,1,35,9,7,112,105,71,63.4,22,283,84.7,45,13.5,334,119.2,7,2019,6,1,334,5,45,71.15,3
1625,Daniel Suarez,4,1,35,9,13,140,127,95,67.9,25,297,88.9,9,2.7,334,111.4,7,2019,4,3,334,1,41,55.5,8
1626,Jimmie Johnson,9,1,35,8,7,107,100,74,69.2,14,317,94.9,60,18.0,334,104.4,7,2019,1,5,334,-4,39,56.3,7
1627,Aric Almirola,12,1,39,10,-6,122,128,67,54.9,6,263,78.7,3,0.9,334,92.2,7,2019,21,7,334,14,37,54.45,9
1628,Kurt Busch,14,2,30,13,0,161,161,83,51.6,28,242,72.5,0,0.0,334,92.8,7,2019,30,9,334,21,35,68.6,4
1629,Ryan Newman,6,2,31,12,8,136,128,64,47.1,0,211,63.2,0,0.0,334,76.7,7,2019,18,11,334,7,32,39.0,13
1630,Chase Elliott,13,1,35,9,-15,107,122,65,60.7,30,288,86.2,35,10.5,334,107.7,7,2019,3,13,334,-10,30,42.25,11
1631,Michael McDowell,10,5,35,15,4,107,103,57,53.3,0,183,54.8,0,0.0,334,69.3,7,2019,15,15,334,0,28,28.0,16
1632,Joey Logano,15,1,35,12,15,118,103,59,50.0,7,181,54.4,8,2.4,333,97.1,7,2019,8,17,333,-9,26,22.15,21
1633,Paul Menard,5,2,35,15,-1,113,114,45,39.8,7,174,52.3,0,0.0,333,77.2,7,2019,14,19,333,-5,24,22.15,21
1634,Ty Dillon,22,3,35,21,-6,105,111,35,33.3,0,63,19.0,0,0.0,332,64.0,7,2019,9,21,332,-12,21,9.0,31
1635,Bubba Wallace,27,10,35,23,-19,81,100,9,11.1,0,7,2.1,0,0.0,332,53.8,7,2019,10,23,332,-13,19,6.0,33
1636,David Ragan,28,13,39,25,-15,78,93,0,0.0,0,0,0.0,0,0.0,331,52.3,7,2019,28,25,331,3,17,20.0,23
1637,Parker Kligerman,30,10,37,29,2,48,46,0,0.0,0,0,0.0,0,0.0,330,43.7,7,2019,33,27,330,6,15,21.0,22
1638,Ross Chastain,31,11,35,31,7,45,38,0,0.0,0,2,0.6,0,0.0,329,39.8,7,2019,35,29,329,6,13,19.0,24
1639,B.J. McLeod,33,12,39,33,3,18,15,0,0.0,1,0,0.0,0,0.0,325,34.9,7,2019,34,31,325,3,10,13.45,29
1640,Daniel Hemric,17,3,35,21,-13,98,111,38,38.8,1,68,21.0,0,0.0,324,52.6,7,2019,7,33,324,-26,8,-17.55,38
1641,Bayley Currey,36,14,38,35,-5,19,24,0,0.0,1,0,0.0,0,0.0,320,30.7,7,2019,36,35,320,1,6,7.45,32
1642,Ryan Blaney,3,1,35,17,-17,88,105,54,61.4,29,203,90.2,45,20.0,225,102.2,7,2019,13,37,225,-24,4,4.3,34
1643,Kyle Larson,38,4,35,27,14,79,65,36,45.6,1,115,78.2,0,0.0,147,50.5,7,2019,22,39,147,-17,2,-14.55,36
1644,Clint Bowyer,11,1,29,9,14,135,121,82,60.7,23,281,84.1,3,0.9,334,104.3,7,2019,25,2,334,23,42,76.1,2
1645,Erik Jones,20,1,38,15,27,125,98,56,44.8,7,162,48.5,30,9.0,334,85.3,7,2019,11,4,334,7,40,57.65,5
1646,William Byron,8,1,35,8,7,101,94,72,71.3,16,309,92.5,15,4.5,334,101.9,7,2019,2,6,334,-4,38,44.95,10
1647,Kevin Harvick,16,2,32,12,-5,113,118,62,54.9,12,245,73.4,0,0.0,334,84.7,7,2019,23,8,334,15,36,56.4,6
1648,Kyle Busch,2,1,35,7,9,109,100,67,61.5,45,277,82.9,66,19.8,334,126.0,7,2019,16,10,334,6,34,76.75,1
1649,"Martin Truex, Jr.",18,1,35,11,-8,113,121,63,55.8,0,269,80.5,10,3.0,334,81.7,7,2019,20,12,334,8,31,41.5,12
1650,Austin Dillon,19,1,35,11,-21,123,144,77,62.6,8,263,78.7,5,1.5,334,88.7,7,2019,5,14,334,-9,29,24.85,18
1651,"Ricky Stenhouse, Jr.",7,4,35,16,3,118,115,54,45.8,2,188,56.5,0,0.0,333,66.8,7,2019,17,16,333,1,27,28.9,15
1652,Alex Bowman,21,8,34,21,9,106,97,14,13.2,9,24,7.2,0,0.0,333,59.5,7,2019,24,18,333,6,25,35.05,14
1653,Chris Buescher,25,6,39,19,3,113,110,29,25.7,3,44,13.2,0,0.0,333,60.7,7,2019,19,20,333,-1,23,23.35,19
1654,Ryan Preece,24,3,36,25,11,105,94,8,7.6,1,6,1.8,0,0.0,332,48.6,7,2019,27,22,332,5,20,25.45,17
1655,Matt Tifft,26,1,33,26,1,93,92,0,0.0,0,0,0.0,0,0.0,332,49.3,7,2019,29,24,332,5,18,23.0,20
1656,Matt DiBenedetto,23,7,39,24,-11,92,103,10,10.9,0,7,2.1,0,0.0,331,51.2,7,2019,26,26,331,0,16,16.0,26
1657,Corey LaJoie,29,5,39,31,-1,49,50,0,0.0,0,0,0.0,0,0.0,330,39.2,7,2019,31,28,330,3,14,17.0,25
1658,Landon Cassill,32,9,39,32,-29,23,52,5,21.7,0,6,1.8,0,0.0,326,37.8,7,2019,32,30,326,2,12,14.0,28
1659,Garrett Smithley,35,15,38,34,6,15,9,0,0.0,1,0,0.0,0,0.0,325,30.6,7,2019,38,32,325,6,9,15.45,27
1660,Reed Sorenson,34,13,38,35,7,16,9,0,0.0,1,0,0.0,0,0.0,322,28.1,7,2019,37,34,322,3,7,10.45,30
1661,Brad Keselowski,39,4,39,32,6,54,48,15,27.8,5,32,11.5,0,0.0,279,57.9,7,2019,12,36,279,-24,5,-16.75,37
1662,Timmy Hill,37,16,39,38,1,4,3,0,0.0,0,0,0.0,0,0.0,168,24.2,7,2019,39,38,168,1,3,4.0,35
1663,Kyle Busch,5,1,36,7,16,73,57,43,58.9,40,434,86.8,71,14.2,500,119.2,8,2019,17,1,500,16,45,96.75,2
1664,Joey Logano,1,1,10,3,21,59,38,58,98.3,71,500,100.0,146,29.2,500,132.3,8,2019,7,3,500,4,41,113.45,1
1665,Denny Hamlin,13,1,17,11,-5,84,89,82,97.6,5,488,97.6,7,1.4,500,88.7,8,2019,5,5,500,0,39,43.0,10
1666,Clint Bowyer,8,1,17,6,13,66,53,61,92.4,32,470,94.0,24,4.8,500,110.2,8,2019,8,7,500,1,37,58.4,6
1667,Ryan Newman,3,1,18,9,-8,77,85,71,92.2,3,479,95.8,0,0.0,500,94.1,8,2019,11,9,500,2,35,38.35,14
1668,Chase Elliott,12,1,18,10,9,69,60,61,88.4,15,403,80.6,38,7.6,500,91.2,8,2019,1,11,500,-10,32,38.25,15
1669,Kevin Harvick,22,12,37,24,18,41,23,4,9.8,82,12,2.4,0,0.0,500,70.4,8,2019,13,13,500,0,30,66.9,5
1670,Ty Dillon,15,1,24,13,3,78,75,71,91.0,2,469,93.8,6,1.2,500,74.6,8,2019,24,15,500,9,28,39.4,13
1671,"Martin Truex, Jr.",24,2,25,14,-7,72,79,40,55.6,30,227,45.5,0,0.0,499,92.1,8,2019,23,17,499,6,26,45.5,8
1672,Kyle Larson,23,10,34,22,-16,47,63,24,51.1,13,75,15.0,0,0.0,499,61.4,8,2019,16,19,499,-3,24,26.85,19
1673,David Ragan,20,14,25,20,-3,37,40,2,5.4,0,10,2.0,0,0.0,498,58.8,8,2019,22,21,498,1,21,22.0,22
1674,Alex Bowman,27,5,32,23,-15,38,53,18,47.4,1,104,20.9,0,0.0,497,64.7,8,2019,14,23,497,-9,19,10.45,28
1675,Ryan Preece,28,25,35,28,18,27,9,0,0.0,1,0,0.0,0,0.0,496,43.2,8,2019,30,25,496,5,17,22.45,21
1676,Matt Tifft,30,23,31,27,-10,10,20,0,0.0,1,0,0.0,0,0.0,494,43.4,8,2019,29,27,494,2,15,17.45,24
1677,Ross Chastain,29,9,37,28,0,24,24,0,0.0,1,1,0.2,0,0.0,491,42.7,8,2019,37,29,491,8,13,21.45,23
1678,Bayley Currey,32,28,34,31,1,9,8,0,0.0,0,0,0.0,0,0.0,488,35.5,8,2019,34,31,488,3,10,13.0,27
1679,"Ricky Stenhouse, Jr.",35,19,36,35,-2,4,6,0,0.0,5,0,0.0,0,0.0,395,35.3,8,2019,19,33,395,-14,8,-3.75,35
1680,Timmy Hill,34,29,36,34,-2,8,10,0,0.0,0,0,0.0,0,0.0,239,28.2,8,2019,35,35,239,0,6,6.0,31
1681,Aric Almirola,37,3,37,37,-12,1,13,1,100.0,0,1,33.3,0,0.0,3,23.2,8,2019,6,37,3,-31,4,-27.0,36
1682,Kurt Busch,6,2,27,9,18,86,68,57,66.3,15,437,87.4,0,0.0,500,102.8,8,2019,27,2,500,25,42,73.75,4
1683,Ryan Blaney,2,1,10,3,6,54,48,52,96.3,35,500,100.0,158,31.6,500,126.7,8,2019,3,4,500,-1,40,94.25,3
1684,Paul Menard,16,3,19,15,-7,37,44,31,83.8,0,168,33.6,0,0.0,500,76.2,8,2019,9,6,500,3,38,41.0,11
1685,Daniel Suarez,10,3,20,12,14,70,56,57,81.4,6,342,68.4,0,0.0,500,91.4,8,2019,20,8,500,12,36,50.7,7
1686,Jimmie Johnson,14,3,18,10,10,85,75,83,97.6,2,479,95.8,0,0.0,500,89.9,8,2019,10,10,500,0,34,34.9,16
1687,Matt DiBenedetto,11,6,25,12,14,125,111,86,68.8,0,392,78.4,0,0.0,500,78.8,8,2019,21,12,500,9,31,40.0,12
1688,Austin Dillon,9,7,23,13,-20,76,96,54,71.1,1,381,76.2,0,0.0,500,74.2,8,2019,15,14,500,1,29,30.45,18
1689,William Byron,17,2,34,17,5,61,56,16,26.2,1,149,29.8,0,0.0,500,64.7,8,2019,2,16,500,-14,27,13.45,26
1690,Brad Keselowski,4,1,18,6,4,81,77,74,91.4,33,470,94.2,40,8.0,499,100.0,8,2019,12,18,499,-6,25,43.85,9
